"id","substance_code_id/id"
hc_base.subs_code_2197007,hc_base.subs_code_2197007_hc_vs_substance_code
hc_base.subs_code_2201007,hc_base.subs_code_2201007_hc_vs_substance_code
hc_base.subs_code_2215009,hc_base.subs_code_2215009_hc_vs_substance_code
hc_base.subs_code_2249001,hc_base.subs_code_2249001_hc_vs_substance_code
hc_base.subs_code_2254005,hc_base.subs_code_2254005_hc_vs_substance_code
hc_base.subs_code_2260005,hc_base.subs_code_2260005_hc_vs_substance_code
hc_base.subs_code_2262002,hc_base.subs_code_2262002_hc_vs_substance_code
hc_base.subs_code_2264001,hc_base.subs_code_2264001_hc_vs_substance_code
hc_base.subs_code_2309006,hc_base.subs_code_2309006_hc_vs_substance_code
hc_base.subs_code_2329007,hc_base.subs_code_2329007_hc_vs_substance_code
hc_base.subs_code_2331003,hc_base.subs_code_2331003_hc_vs_substance_code
hc_base.subs_code_2338009,hc_base.subs_code_2338009_hc_vs_substance_code
hc_base.subs_code_2343002,hc_base.subs_code_2343002_hc_vs_substance_code
hc_base.subs_code_2346005,hc_base.subs_code_2346005_hc_vs_substance_code
hc_base.subs_code_2354007,hc_base.subs_code_2354007_hc_vs_substance_code
hc_base.subs_code_2358005,hc_base.subs_code_2358005_hc_vs_substance_code
hc_base.subs_code_2369008,hc_base.subs_code_2369008_hc_vs_substance_code
hc_base.subs_code_2376003,hc_base.subs_code_2376003_hc_vs_substance_code
hc_base.subs_code_2384004,hc_base.subs_code_2384004_hc_vs_substance_code
hc_base.subs_code_2404002,hc_base.subs_code_2404002_hc_vs_substance_code
hc_base.subs_code_2405001,hc_base.subs_code_2405001_hc_vs_substance_code
hc_base.subs_code_2414006,hc_base.subs_code_2414006_hc_vs_substance_code
hc_base.subs_code_2430003,hc_base.subs_code_2430003_hc_vs_substance_code
hc_base.subs_code_2431004,hc_base.subs_code_2431004_hc_vs_substance_code
hc_base.subs_code_2441001,hc_base.subs_code_2441001_hc_vs_substance_code
hc_base.subs_code_2444009,hc_base.subs_code_2444009_hc_vs_substance_code
hc_base.subs_code_2450004,hc_base.subs_code_2450004_hc_vs_substance_code
hc_base.subs_code_2500009,hc_base.subs_code_2500009_hc_vs_substance_code
hc_base.subs_code_2516006,hc_base.subs_code_2516006_hc_vs_substance_code
hc_base.subs_code_2522002,hc_base.subs_code_2522002_hc_vs_substance_code
hc_base.subs_code_2537003,hc_base.subs_code_2537003_hc_vs_substance_code
hc_base.subs_code_2568004,hc_base.subs_code_2568004_hc_vs_substance_code
hc_base.subs_code_2573005,hc_base.subs_code_2573005_hc_vs_substance_code
hc_base.subs_code_2595009,hc_base.subs_code_2595009_hc_vs_substance_code
hc_base.subs_code_2597001,hc_base.subs_code_2597001_hc_vs_substance_code
hc_base.subs_code_2611008,hc_base.subs_code_2611008_hc_vs_substance_code
hc_base.subs_code_2637006,hc_base.subs_code_2637006_hc_vs_substance_code
hc_base.subs_code_2648004,hc_base.subs_code_2648004_hc_vs_substance_code
hc_base.subs_code_2649007,hc_base.subs_code_2649007_hc_vs_substance_code
hc_base.subs_code_2660003,hc_base.subs_code_2660003_hc_vs_substance_code
hc_base.subs_code_2671002,hc_base.subs_code_2671002_hc_vs_substance_code
hc_base.subs_code_2674005,hc_base.subs_code_2674005_hc_vs_substance_code
hc_base.subs_code_2676007,hc_base.subs_code_2676007_hc_vs_substance_code
hc_base.subs_code_2680002,hc_base.subs_code_2680002_hc_vs_substance_code
hc_base.subs_code_2698003,hc_base.subs_code_2698003_hc_vs_substance_code
hc_base.subs_code_2705002,hc_base.subs_code_2705002_hc_vs_substance_code
hc_base.subs_code_2706001,hc_base.subs_code_2706001_hc_vs_substance_code
hc_base.subs_code_2721007,hc_base.subs_code_2721007_hc_vs_substance_code
hc_base.subs_code_2753003,hc_base.subs_code_2753003_hc_vs_substance_code
hc_base.subs_code_2765004,hc_base.subs_code_2765004_hc_vs_substance_code
hc_base.subs_code_2778004,hc_base.subs_code_2778004_hc_vs_substance_code
hc_base.subs_code_2796008,hc_base.subs_code_2796008_hc_vs_substance_code
hc_base.subs_code_2799001,hc_base.subs_code_2799001_hc_vs_substance_code
hc_base.subs_code_2832002,hc_base.subs_code_2832002_hc_vs_substance_code
hc_base.subs_code_2869004,hc_base.subs_code_2869004_hc_vs_substance_code
hc_base.subs_code_2878005,hc_base.subs_code_2878005_hc_vs_substance_code
hc_base.subs_code_2880004,hc_base.subs_code_2880004_hc_vs_substance_code
hc_base.subs_code_2913009,hc_base.subs_code_2913009_hc_vs_substance_code
hc_base.subs_code_2916001,hc_base.subs_code_2916001_hc_vs_substance_code
hc_base.subs_code_2925007,hc_base.subs_code_2925007_hc_vs_substance_code
hc_base.subs_code_2927004,hc_base.subs_code_2927004_hc_vs_substance_code
hc_base.subs_code_2938004,hc_base.subs_code_2938004_hc_vs_substance_code
hc_base.subs_code_2942001,hc_base.subs_code_2942001_hc_vs_substance_code
hc_base.subs_code_2958003,hc_base.subs_code_2958003_hc_vs_substance_code
hc_base.subs_code_2964005,hc_base.subs_code_2964005_hc_vs_substance_code
hc_base.subs_code_2974008,hc_base.subs_code_2974008_hc_vs_substance_code
hc_base.subs_code_2988007,hc_base.subs_code_2988007_hc_vs_substance_code
hc_base.subs_code_2991007,hc_base.subs_code_2991007_hc_vs_substance_code
hc_base.subs_code_2995003,hc_base.subs_code_2995003_hc_vs_substance_code
hc_base.subs_code_3027009,hc_base.subs_code_3027009_hc_vs_substance_code
hc_base.subs_code_3031003,hc_base.subs_code_3031003_hc_vs_substance_code
hc_base.subs_code_3040004,hc_base.subs_code_3040004_hc_vs_substance_code
hc_base.subs_code_3045009,hc_base.subs_code_3045009_hc_vs_substance_code
hc_base.subs_code_3052006,hc_base.subs_code_3052006_hc_vs_substance_code
hc_base.subs_code_3066001,hc_base.subs_code_3066001_hc_vs_substance_code
hc_base.subs_code_3087006,hc_base.subs_code_3087006_hc_vs_substance_code
hc_base.subs_code_3131000,hc_base.subs_code_3131000_hc_vs_substance_code
hc_base.subs_code_3136005,hc_base.subs_code_3136005_hc_vs_substance_code
hc_base.subs_code_3142009,hc_base.subs_code_3142009_hc_vs_substance_code
hc_base.subs_code_3145006,hc_base.subs_code_3145006_hc_vs_substance_code
hc_base.subs_code_3151001,hc_base.subs_code_3151001_hc_vs_substance_code
hc_base.subs_code_3155005,hc_base.subs_code_3155005_hc_vs_substance_code
hc_base.subs_code_3161008,hc_base.subs_code_3161008_hc_vs_substance_code
hc_base.subs_code_3167007,hc_base.subs_code_3167007_hc_vs_substance_code
hc_base.subs_code_3187008,hc_base.subs_code_3187008_hc_vs_substance_code
hc_base.subs_code_3193000,hc_base.subs_code_3193000_hc_vs_substance_code
hc_base.subs_code_3197004,hc_base.subs_code_3197004_hc_vs_substance_code
hc_base.subs_code_3209002,hc_base.subs_code_3209002_hc_vs_substance_code
hc_base.subs_code_3212004,hc_base.subs_code_3212004_hc_vs_substance_code
hc_base.subs_code_3232003,hc_base.subs_code_3232003_hc_vs_substance_code
hc_base.subs_code_3273002,hc_base.subs_code_3273002_hc_vs_substance_code
hc_base.subs_code_3300001,hc_base.subs_code_3300001_hc_vs_substance_code
hc_base.subs_code_3318003,hc_base.subs_code_3318003_hc_vs_substance_code
